id,num_orders
1028232,136.035
1262649,137.035
1453211,204.66
1262599,98.825
1495848,137.1
1342607,137.405
1358429,137.58
1475006,135.09
1009709,176.685
1460444,1361.24
1476535,511.235
1297121,586.56
1141103,983.665
1274933,1411.345
1435122,520.96
1486477,507.105
1195364,982.25
1301491,586.56
1059056,872.265
1098228,1005.95
1080847,1015.105
1064602,1030.595
1093227,1078.295
1177861,884.325
1259611,523.04
1274836,731.8
1030333,1062.805
1249982,608.5
1188591,586.025
1316160,668.24
1419545,672.51
1062437,552.01
1181575,830.79
1143023,437.425
1278339,645.385
1282203,664.455
1080746,492.435
1296937,670.365
1210564,615.415
1390579,257.23
1436947,305.7
1045739,243.66
1318087,258.82
1223698,282.62
1436625,276.005
1383644,228.615
1045356,216.435
1121593,251.52
1114635,223.495
1332667,1681.795
1039351,2053.07
1319273,1635.955
1305518,1666.105
1327143,1517.9
1272171,1158.895
1223757,1003.145
1090089,1081.88
1128850,976.78
1446344,913.565
1237947,753.185
1452835,637.465
1029462,823.635
1365321,712.725
1377892,763.35
1378346,763.35
1261333,753.785
1427333,660.47
1157382,783.51
1168967,747.725
1306954,683.355
1342909,700.53
1244760,1090.62
1431361,685.03
1276681,986.155
1148958,971.115
1184174,803.625
1323560,688.385
1066229,1219.76
1025558,936.47
1083889,246.76
1378453,236.635
1434331,262.305
1311554,285.49
1111904,245.105
1430955,260.295
1455829,283.095
1182896,274.345
1205862,256.68
1215917,267.245
1409427,157.83
1100468,265.555
1411863,134.15
1010693,332.24
1004925,279.58
1265382,139.52
1239027,154.455
1462013,302.65
1464784,194.595
1440692,153.15
1268331,263.85
1030648,323.11
1033468,295.195
1452010,352.56
1164883,258.965
1265395,359.55
1214244,381.575
1307226,347.765
1425834,336.615
1105463,289.96
1245977,125.715
1352817,133.32
1245183,363.77
1490092,308.3
1278462,380.205
1090267,382.12
1231613,359.535
1164334,383.01
1300150,353.32
1231259,365.13
1243020,438.035
1433764,709.145
1124103,457.815
1031825,479.155
1437782,599.785
1087645,487.595
1185456,420.44
1450862,689.535
1465438,685.565
1035890,358.15
1267165,557.35
1262997,655.69
1088775,866.935
1217709,811.45
1430418,524.045
1275478,745.15
1435295,443.545
1346982,439.585
1160970,646.105
1310566,498.525
1014151,584.67
1374002,560.09
1417996,577.5
1141881,526.6
1219590,542.485
1373220,547.75
1355558,543.825
1042282,599.27
1323969,569.985
1480827,498.22
1161084,257.335
1351984,233.445
1196384,321.055
1231951,349.17
1004647,213.405
1441493,280.04
1337172,327.06
1127689,252.83
1321298,270.03
1475476,271.835
1207745,468.195
1332437,365.2
1295195,438.34
1238168,520.335
1401191,429.555
1320351,474.955
1015073,440.62
1440436,519.625
1488196,627.51
1084735,487.38
1312130,143.03
1284072,176.84
1390606,146.775
1177870,147.77
1217412,132.62
1391279,140.25
1000635,198.88
1070142,201.78
1158077,166.365
1263948,129.705
1240615,970.995
1397490,1032.175
1355088,836.555
1401705,1035.545
1422185,753.98
1390157,1036.755
1460838,838.52
1377519,1054.92
1310657,834.885
1491023,1098.2
1067356,372.975
1282200,826.825
1137357,378.415
1396043,724.07
1269970,801.225
1350440,760.005
1308326,804.88
1242087,863.44
1043619,293.805
1222185,411.11
1497941,696.875
1278537,520.37
1355035,535.01
1143583,631.72
1020166,681.21
1406416,459.8
1203123,497.61
1480428,600.875
1420069,666.04
1125502,645.08
1249505,237.83
1206767,267.86
1094469,220.995
1278323,152.09
1173977,240.79
1140787,225.04
1116819,254.18
1252003,376.775
1352888,178.395
1128508,222.55
1034558,77.6
1176365,67.255
1094576,85.22
1392466,61.425
1055474,79.365
1217360,71.915
1271801,59.39
1345064,58.58
1401294,88.11
1024879,77.2
1001797,488.9
1131807,292.245
1494899,331.84
1268958,381.88
1288154,362.145
1203405,293.61
1040370,581.39
1044833,508.375
1350447,298.87
1347690,317.87
1025721,296.615
1457412,384.1
1251774,390.505
1380718,315.435
1262455,394.435
1043759,313.05
1153098,345.265
1142567,305.84
1044267,315.53
1263998,340.36
1185434,812.165
1101049,1549.965
1101699,1526.88
1089294,1533.44
1480593,731.6
1339799,1625.08
1261433,1501.76
1397430,616.825
1083089,789.785
1138673,1415.905
1306281,96.61
1042427,157.685
1039235,146.925
1270474,106.705
1387994,95.53
1204001,100.78
1146761,123.48
1160004,120.05
1274185,123.63
1271542,102.735
1470774,488.665
1299041,565.92
1105837,434.075
1082803,545.65
1023822,539.16
1312925,573.575
1089746,526.43
1133734,439.125
1096643,531.51
1095601,517.04
1236999,597.895
1129005,531.62
1060160,514.925
1139012,508.32
1009801,533.125
1499374,457.78
1130038,524.64
1136954,483.655
1214539,544.415
1341789,359.49
1402501,76.355
1305350,70.365
1416500,70.47
1061620,64.2
1356623,47.16
1135009,50.015
1039371,40.895
1358442,52.52
1330108,72.34
1368952,81.24
1402068,400.645
1414079,369.435
1027086,429.19
1376822,285.555
